lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.51409120000002,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.5140912,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.329,1.3613600000000001,33.424,81.35999999999999,130.5140912,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.51409120000002,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.51409120000002,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.51409120000002,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.329,1.3613600000000001,33.424,81.35999999999999,130.5140912,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.5140912,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.5140912,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
11.315199999999999,10.118399999999998,24.935679999999998,20.236799999999995,61.0,55.2,112.0,110.4,1.0,1.2,2.8,2.4,1.6,5.6,7.2,9.6,0.53882,0.6806800000000001,1.3289999999999997,1.3613600000000001,33.424,81.35999999999999,130.51409120000002,162.71999999999997,0.0,0.9080000000000001,1.5800000000000005,1.8160000000000003,0.0,2.0,6.8,4.0,0.0,0.0,0.0,0.0,0.0,-2.4,-1.2,-4.0,0.0,-0.040000000000000036,0.26399999999999996,-0.08000000000000007,0.0,-6.36,-4.045688,-12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOKDEN_clean_primitive
